,emotion
5211,Fear
5212,Not classified
5213,Not classified
5214,Happy
5215,Fear
5216,Not classified
5217,Not classified
5218,Fear
5219,Sad
5220,Not classified
5221,Surprise
5222,Not classified
5223,Happy
5224,Not classified
5225,Happy
5226,Sad
5227,Not classified
5228,Not classified
5229,Not classified
5230,Sad
5231,Fear
5232,Surprise
5233,Not classified
5234,Surprise
5235,Not classified
5236,Happy
5237,Not classified
5238,Happy
5239,Not classified
5240,Not classified
5241,Not classified
5242,Not classified
5243,Fear
5244,Happy
5245,Not classified
5246,Surprise
5247,Happy
5248,Not classified
5249,Not classified
5250,Not classified
5251,Not classified
5252,Sad
5253,Surprise
5254,Not classified
5255,Fear
5256,Not classified
5257,Sad
5258,Fear
5259,Surprise
5260,Surprise
5261,Happy
5262,Not classified
5263,Not classified
5264,Not classified
5265,Not classified
5266,Surprise
5267,Not classified
5268,Not classified
5269,Not classified
5270,Angry
5271,Not classified
5272,Happy
5273,Angry
5274,Happy
5275,Not classified
5276,Surprise
5277,Not classified
5278,Not classified
5279,Happy
5280,Fear
5281,Surprise
5282,Not classified
5283,Not classified
5284,Not classified
5285,Not classified
5286,Happy
5287,Happy
5288,Not classified
5289,Not classified
5290,Not classified
5291,Not classified
5292,Not classified
5293,Happy
5294,Fear
5295,Not classified
5296,Not classified
5297,Not classified
5298,Happy
5299,Surprise
5300,Not classified
5301,Sad
5302,Fear
5303,Sad
5304,Angry
5305,Happy
5306,Not classified
5307,Not classified
5308,Not classified
5309,Not classified
5310,Not classified
5311,Fear
5312,Sad
5313,Not classified
5314,Sad
5315,Not classified
5316,Not classified
5317,Surprise
5318,Angry
5319,Sad
5320,Not classified
5321,Not classified
5322,Surprise
5323,Not classified
5324,Not classified
5325,Fear
5326,Happy
5327,Happy
5328,Not classified
5329,Not classified
5330,Not classified
5331,Sad
5332,Surprise
5333,Surprise
5334,Happy
5335,Not classified
5336,Surprise
5337,Not classified
5338,Not classified
5339,Not classified
5340,Not classified
5341,Happy
5342,Sad
5343,Not classified
5344,Not classified
5345,Not classified
5346,Not classified
5347,Not classified
5348,Happy
5349,Fear
5350,Fear
5351,Not classified
5352,Happy
5353,Not classified
5354,Not classified
5355,Surprise
5356,Not classified
5357,Not classified
5358,Surprise
5359,Angry
5360,Sad
5361,Not classified
5362,Fear
5363,Not classified
5364,Not classified
5365,Angry
5366,Not classified
5367,Happy
5368,Happy
5369,Sad
5370,Not classified
5371,Surprise
5372,Happy
5373,Not classified
5374,Not classified
5375,Happy
5376,Not classified
5377,Happy
5378,Not classified
5379,Surprise
5380,Fear
5381,Happy
5382,Not classified
5383,Not classified
5384,Not classified
5385,Not classified
5386,Happy
5387,Fear
5388,Angry
5389,Surprise
5390,Angry
5391,Not classified
5392,Not classified
5393,Happy
5394,Not classified
5395,Not classified
5396,Not classified
5397,Not classified
5398,Fear
5399,Not classified
5400,Sad
5401,Surprise
5402,Fear
5403,Fear
5404,Angry
5405,Surprise
5406,Not classified
5407,Not classified
5408,Angry
5409,Not classified
5410,Sad
5411,Not classified
5412,Not classified
5413,Surprise
5414,Happy
5415,Surprise
5416,Fear
5417,Not classified
5418,Fear
5419,Fear
5420,Not classified
5421,Fear
5422,Surprise
5423,Happy
5424,Sad
5425,Not classified
5426,Sad
5427,Sad
5428,Happy
5429,Happy
5430,Sad
5431,Angry
5432,Not classified
5433,Happy
5434,Angry
5435,Fear
5436,Not classified
5437,Surprise
5438,Not classified
5439,Angry
5440,Sad
5441,Happy
5442,Not classified
5443,Not classified
5444,Not classified
5445,Surprise
5446,Surprise
5447,Surprise
5448,Not classified
5449,Not classified
5450,Sad
5451,Surprise
5452,Fear
5453,Surprise
5454,Surprise
5455,Not classified
5456,Happy
5457,Not classified
5458,Not classified
5459,Happy
5460,Surprise
5461,Not classified
5462,Not classified
5463,Fear
5464,Happy
5465,Not classified
5466,Not classified
5467,Sad
5468,Fear
5469,Fear
5470,Not classified
5471,Sad
5472,Fear
5473,Fear
5474,Not classified
5475,Happy
5476,Happy
5477,Surprise
5478,Not classified
5479,Not classified
5480,Not classified
5481,Not classified
5482,Happy
5483,Happy
5484,Happy
5485,Not classified
5486,Not classified
5487,Happy
5488,Fear
5489,Happy
5490,Happy
5491,Not classified
5492,Happy
5493,Surprise
5494,Angry
5495,Angry
5496,Sad
5497,Happy
5498,Happy
5499,Happy
5500,Not classified
5501,Fear
5502,Angry
5503,Sad
5504,Not classified
5505,Not classified
5506,Not classified
5507,Not classified
5508,Fear
5509,Surprise
5510,Not classified
5511,Fear
5512,Not classified
5513,Not classified
5514,Angry
5515,Happy
5516,Not classified
5517,Happy
5518,Happy
5519,Not classified
5520,Angry
5521,Not classified
5522,Fear
5523,Happy
5524,Not classified
5525,Happy
5526,Not classified
5527,Happy
5528,Sad
5529,Not classified
5530,Fear
5531,Surprise
5532,Fear
5533,Happy
5534,Fear
5535,Happy
5536,Not classified
5537,Not classified
5538,Happy
5539,Not classified
5540,Fear
5541,Not classified
5542,Not classified
5543,Fear
5544,Surprise
5545,Sad
5546,Surprise
5547,Happy
5548,Not classified
5549,Fear
5550,Sad
5551,Not classified
5552,Not classified
5553,Happy
5554,Not classified
5555,Fear
5556,Happy
5557,Sad
5558,Happy
5559,Not classified
5560,Sad
5561,Surprise
5562,Fear
5563,Sad
5564,Sad
5565,Sad
5566,Sad
5567,Not classified
5568,Not classified
5569,Fear
5570,Not classified
5571,Surprise
5572,Angry
5573,Not classified
5574,Not classified
5575,Sad
5576,Not classified
5577,Fear
5578,Fear
5579,Surprise
5580,Surprise
5581,Not classified
5582,Fear
5583,Fear
5584,Not classified
5585,Not classified
5586,Not classified
5587,Happy
5588,Happy
5589,Not classified
5590,Not classified
5591,Happy
5592,Not classified
5593,Fear
5594,Not classified
5595,Fear
5596,Happy
5597,Sad
5598,Fear
5599,Surprise
5600,Fear
5601,Not classified
5602,Not classified
5603,Not classified
5604,Not classified
5605,Fear
5606,Not classified
5607,Surprise
5608,Surprise
5609,Not classified
5610,Happy
5611,Not classified
5612,Fear
5613,Not classified
5614,Sad
5615,Happy
5616,Not classified
5617,Not classified
5618,Not classified
5619,Sad
5620,Fear
5621,Not classified
5622,Not classified
5623,Not classified
5624,Not classified
5625,Not classified
5626,Fear
5627,Angry
5628,Not classified
5629,Surprise
5630,Surprise
5631,Sad
5632,Not classified
5633,Happy
5634,Surprise
5635,Happy
5636,Happy
5637,Sad
5638,Not classified
5639,Surprise
5640,Happy
5641,Not classified
5642,Surprise
5643,Surprise
5644,Surprise
5645,Angry
5646,Happy
5647,Not classified
5648,Not classified
5649,Not classified
5650,Not classified
5651,Not classified
5652,Happy
5653,Surprise
5654,Not classified
5655,Not classified
5656,Happy
5657,Not classified
5658,Not classified
5659,Not classified
5660,Not classified
5661,Not classified
5662,Surprise
5663,Sad
5664,Happy
5665,Fear
5666,Not classified
5667,Fear
5668,Not classified
5669,Not classified
5670,Not classified
5671,Not classified
5672,Sad
5673,Fear
5674,Not classified
5675,Not classified
5676,Happy
5677,Happy
5678,Not classified
5679,Sad
5680,Happy
5681,Surprise
5682,Surprise
5683,Surprise
5684,Not classified
5685,Not classified
5686,Not classified
5687,Not classified
5688,Not classified
5689,Sad
5690,Surprise
5691,Not classified
5692,Not classified
5693,Not classified
5694,Not classified
5695,Sad
5696,Not classified
5697,Fear
5698,Angry
5699,Sad
5700,Fear
5701,Happy
5702,Surprise
5703,Not classified
5704,Not classified
5705,Surprise
5706,Happy
5707,Fear
5708,Sad
5709,Not classified
5710,Surprise
5711,Fear
5712,Not classified
5713,Happy
5714,Not classified
5715,Sad
5716,Sad
5717,Surprise
5718,Fear
5719,Not classified
5720,Happy
5721,Surprise
5722,Not classified
5723,Not classified
5724,Angry
5725,Surprise
5726,Not classified
5727,Not classified
5728,Fear
5729,Happy
5730,Fear
5731,Not classified
5732,Not classified
5733,Fear
5734,Surprise
5735,Surprise
5736,Not classified
5737,Happy
5738,Fear
5739,Sad
5740,Angry
5741,Surprise
5742,Happy
5743,Not classified
5744,Happy
5745,Angry
5746,Not classified
5747,Sad
5748,Surprise
5749,Not classified
5750,Not classified
5751,Fear
5752,Not classified
5753,Happy
5754,Fear
5755,Surprise
5756,Happy
5757,Not classified
5758,Sad
5759,Happy
5760,Not classified
5761,Not classified
5762,Happy
5763,Not classified
5764,Angry
5765,Happy
5766,Not classified
5767,Fear
5768,Fear
5769,Not classified
5770,Not classified
5771,Not classified
5772,Happy
5773,Not classified
5774,Sad
5775,Happy
5776,Surprise
5777,Not classified
5778,Fear
5779,Sad
5780,Happy
5781,Sad
5782,Surprise
5783,Happy
5784,Not classified
5785,Not classified
5786,Sad
5787,Surprise
5788,Happy
5789,Happy
5790,Surprise
5791,Not classified
5792,Not classified
5793,Sad
5794,Not classified
5795,Not classified
5796,Happy
5797,Not classified
5798,Happy
5799,Not classified
5800,Surprise
5801,Not classified
5802,Not classified
5803,Happy
5804,Fear
5805,Fear
5806,Happy
5807,Happy
5808,Not classified
5809,Sad
5810,Not classified
5811,Surprise
5812,Not classified
5813,Happy
5814,Happy
5815,Sad
5816,Not classified
5817,Not classified
5818,Not classified
5819,Surprise
5820,Sad
5821,Happy
5822,Not classified
5823,Sad
5824,Happy
5825,Not classified
5826,Not classified
5827,Happy
5828,Happy
5829,Not classified
5830,Sad
5831,Not classified
5832,Not classified
5833,Not classified
5834,Not classified
5835,Surprise
5836,Sad
5837,Not classified
5838,Surprise
5839,Not classified
5840,Not classified
5841,Sad
5842,Happy
5843,Not classified
5844,Happy
5845,Not classified
5846,Happy
5847,Not classified
5848,Happy
5849,Happy
5850,Not classified
5851,Not classified
5852,Surprise
5853,Sad
5854,Not classified
5855,Surprise
5856,Not classified
5857,Fear
5858,Sad
5859,Sad
5860,Not classified
5861,Surprise
5862,Not classified
5863,Not classified
5864,Not classified
5865,Fear
5866,Not classified
5867,Happy
5868,Not classified
5869,Happy
5870,Not classified
5871,Surprise
5872,Not classified
5873,Happy
5874,Not classified
5875,Not classified
5876,Not classified
5877,Happy
5878,Not classified
5879,Happy
5880,Not classified
5881,Surprise
5882,Not classified
5883,Sad
5884,Surprise
5885,Angry
5886,Sad
5887,Not classified
5888,Not classified
5889,Not classified
5890,Not classified
5891,Sad
5892,Fear
5893,Not classified
5894,Fear
5895,Not classified
5896,Fear
5897,Not classified
5898,Not classified
5899,Surprise
5900,Fear
5901,Not classified
5902,Happy
5903,Sad
5904,Not classified
5905,Surprise
5906,Happy
5907,Surprise
5908,Happy
5909,Not classified
5910,Happy
5911,Not classified
5912,Surprise
5913,Not classified
5914,Fear
5915,Not classified
5916,Fear
5917,Not classified
5918,Fear
5919,Not classified
5920,Not classified
5921,Happy
5922,Not classified
5923,Fear
5924,Surprise
5925,Not classified
5926,Not classified
5927,Not classified
5928,Happy
5929,Fear
5930,Not classified
5931,Fear
5932,Not classified
5933,Not classified
5934,Fear
5935,Sad
5936,Surprise
5937,Not classified
5938,Happy
5939,Not classified
5940,Not classified
5941,Not classified
5942,Not classified
5943,Happy
5944,Happy
5945,Not classified
5946,Fear
5947,Not classified
5948,Angry
5949,Not classified
5950,Happy
5951,Sad
5952,Fear
5953,Not classified
5954,Not classified
5955,Not classified
5956,Not classified
5957,Happy
5958,Happy
5959,Angry
5960,Fear
5961,Not classified
5962,Angry
5963,Not classified
5964,Happy
5965,Happy
5966,Fear
5967,Not classified
5968,Sad
5969,Not classified
5970,Not classified
5971,Not classified
5972,Not classified
5973,Not classified
5974,Sad
5975,Sad
5976,Fear
5977,Not classified
5978,Not classified
5979,Not classified
5980,Not classified
5981,Not classified
5982,Fear
5983,Happy
5984,Fear
5985,Not classified
5986,Sad
5987,Angry
5988,Happy
5989,Sad
5990,Not classified
5991,Happy
5992,Not classified
5993,Sad
5994,Happy
5995,Surprise
5996,Not classified
5997,Fear
5998,Angry
5999,Sad
6000,Happy
6001,Happy
6002,Happy
6003,Happy
6004,Angry
6005,Fear
6006,Fear
6007,Not classified
6008,Not classified
6009,Surprise
6010,Fear
6011,Not classified
6012,Not classified
6013,Not classified
6014,Not classified
6015,Happy
6016,Sad
6017,Not classified
6018,Surprise
6019,Surprise
6020,Fear
6021,Happy
6022,Not classified
6023,Happy
6024,Angry
6025,Fear
6026,Not classified
6027,Happy
6028,Not classified
6029,Happy
6030,Not classified
6031,Not classified
6032,Not classified
6033,Not classified
6034,Not classified
6035,Not classified
6036,Not classified
6037,Not classified
6038,Surprise
6039,Surprise
6040,Not classified
6041,Not classified
6042,Not classified
6043,Not classified
6044,Not classified
6045,Angry
6046,Not classified
6047,Surprise
6048,Sad
6049,Sad
6050,Not classified
6051,Not classified
6052,Fear
6053,Surprise
6054,Not classified
6055,Happy
6056,Sad
6057,Not classified
6058,Fear
6059,Happy
6060,Angry
6061,Happy
6062,Happy
6063,Happy
6064,Angry
6065,Not classified
6066,Happy
6067,Not classified
6068,Surprise
6069,Happy
6070,Surprise
6071,Surprise
6072,Not classified
6073,Surprise
6074,Surprise
6075,Not classified
6076,Not classified
6077,Not classified
6078,Not classified
6079,Not classified
6080,Not classified
6081,Not classified
6082,Surprise
6083,Happy
6084,Fear
6085,Not classified
6086,Angry
6087,Not classified
6088,Angry
6089,Not classified
6090,Not classified
6091,Angry
6092,Fear
6093,Angry
6094,Happy
6095,Surprise
6096,Not classified
6097,Not classified
6098,Happy
6099,Surprise
6100,Angry
6101,Surprise
6102,Not classified
6103,Surprise
6104,Surprise
6105,Fear
6106,Fear
6107,Angry
6108,Sad
6109,Not classified
6110,Happy
6111,Sad
6112,Surprise
6113,Fear
6114,Happy
6115,Not classified
6116,Happy
6117,Happy
6118,Surprise
6119,Not classified
6120,Happy
6121,Fear
6122,Sad
6123,Fear
6124,Angry
6125,Sad
6126,Happy
6127,Not classified
6128,Surprise
6129,Not classified
6130,Not classified
6131,Fear
6132,Not classified
6133,Sad
6134,Angry
6135,Not classified
6136,Fear
6137,Not classified
6138,Surprise
6139,Happy
6140,Not classified
6141,Happy
6142,Fear
6143,Sad
6144,Not classified
6145,Not classified
6146,Not classified
6147,Not classified
6148,Fear
6149,Not classified
6150,Not classified
6151,Sad
6152,Not classified
6153,Not classified
6154,Fear
6155,Fear
6156,Happy
6157,Not classified
6158,Not classified
6159,Fear
6160,Happy
6161,Sad
6162,Not classified
6163,Not classified
6164,Sad
6165,Surprise
6166,Fear
6167,Sad
6168,Not classified
6169,Not classified
6170,Not classified
6171,Fear
6172,Not classified
6173,Angry
6174,Sad
6175,Sad
6176,Not classified
6177,Happy
6178,Happy
6179,Surprise
6180,Sad
6181,Surprise
6182,Fear
6183,Surprise
6184,Not classified
6185,Angry
6186,Not classified
6187,Not classified
6188,Sad
6189,Surprise
6190,Angry
6191,Happy
6192,Angry
6193,Surprise
6194,Not classified
6195,Not classified
6196,Not classified
6197,Not classified
6198,Not classified
6199,Not classified
6200,Not classified
6201,Not classified
6202,Not classified
6203,Not classified
6204,Sad
6205,Not classified
6206,Not classified
6207,Not classified
6208,Not classified
6209,Happy
6210,Not classified
6211,Happy
6212,Fear
6213,Surprise
6214,Not classified
6215,Happy
6216,Not classified
6217,Not classified
6218,Happy
6219,Not classified
6220,Happy
6221,Angry
6222,Not classified
6223,Not classified
6224,Happy
6225,Surprise
6226,Not classified
6227,Not classified
6228,Surprise
6229,Not classified
6230,Not classified
6231,Not classified
6232,Not classified
6233,Not classified
6234,Not classified
6235,Happy
6236,Happy
6237,Surprise
6238,Not classified
6239,Not classified
6240,Not classified
6241,Sad
6242,Happy
6243,Surprise
6244,Not classified
6245,Not classified
6246,Not classified
6247,Surprise
6248,Not classified
6249,Fear
6250,Not classified
6251,Fear
6252,Fear
6253,Happy
6254,Not classified
6255,Fear
6256,Not classified
6257,Not classified
6258,Happy
6259,Not classified
6260,Not classified
6261,Not classified
6262,Not classified
6263,Happy
6264,Not classified
6265,Not classified
6266,Happy
6267,Happy
6268,Not classified
6269,Not classified
6270,Not classified
6271,Fear
6272,Sad
6273,Not classified
6274,Angry
6275,Fear
6276,Happy
6277,Not classified
6278,Fear
6279,Surprise
6280,Not classified
6281,Fear
6282,Sad
6283,Surprise
6284,Fear
6285,Not classified
6286,Not classified
6287,Happy
6288,Not classified
6289,Happy
6290,Surprise
6291,Not classified
6292,Not classified
6293,Happy
6294,Angry
6295,Not classified
6296,Fear
6297,Sad
6298,Not classified
6299,Not classified
6300,Fear
6301,Not classified
6302,Not classified
6303,Surprise
6304,Not classified
6305,Happy
6306,Not classified
6307,Fear
6308,Not classified
6309,Not classified
6310,Surprise
6311,Surprise
6312,Happy
6313,Not classified
6314,Sad
6315,Not classified
6316,Fear
6317,Not classified
6318,Happy
6319,Not classified
6320,Sad
6321,Not classified
6322,Happy
6323,Not classified
6324,Surprise
6325,Fear
6326,Sad
6327,Fear
6328,Sad
6329,Sad
6330,Not classified
6331,Not classified
6332,Angry
6333,Not classified
6334,Surprise
6335,Not classified
6336,Not classified
6337,Fear
6338,Sad
6339,Fear
6340,Not classified
6341,Fear
6342,Fear
6343,Not classified
6344,Not classified
6345,Not classified
6346,Not classified
6347,Surprise
6348,Not classified
6349,Sad
6350,Not classified
6351,Not classified
6352,Sad
6353,Surprise
6354,Surprise
6355,Not classified
6356,Surprise
6357,Angry
6358,Angry
6359,Sad
6360,Surprise
6361,Not classified
6362,Not classified
6363,Not classified
6364,Not classified
6365,Not classified
6366,Not classified
6367,Not classified
6368,Surprise
6369,Angry
6370,Fear
6371,Not classified
6372,Not classified
6373,Not classified
6374,Surprise
6375,Surprise
6376,Sad
6377,Not classified
6378,Not classified
6379,Angry
6380,Fear
6381,Surprise
6382,Not classified
6383,Surprise
6384,Not classified
6385,Not classified
6386,Not classified
6387,Surprise
6388,Not classified
6389,Not classified
6390,Sad
6391,Not classified
6392,Happy
6393,Surprise
6394,Not classified
6395,Fear
6396,Surprise
6397,Fear
6398,Not classified
6399,Angry
6400,Happy
6401,Surprise
6402,Sad
6403,Not classified
6404,Happy
6405,Surprise
6406,Not classified
6407,Fear
6408,Not classified
6409,Surprise
6410,Surprise
6411,Not classified
6412,Fear
6413,Not classified
6414,Not classified
6415,Not classified
6416,Not classified
6417,Sad
6418,Angry
6419,Not classified
6420,Happy
6421,Happy
6422,Fear
6423,Surprise
6424,Not classified
6425,Happy
6426,Happy
6427,Not classified
6428,Fear
6429,Surprise
6430,Fear
6431,Surprise
6432,Not classified
6433,Surprise
6434,Happy
6435,Happy
6436,Happy
6437,Happy
6438,Happy
6439,Not classified
6440,Happy
6441,Happy
6442,Sad
6443,Happy
6444,Fear
6445,Fear
6446,Fear
6447,Not classified
6448,Fear
6449,Happy
6450,Fear
6451,Happy
6452,Fear
6453,Happy
6454,Happy
6455,Angry
6456,Not classified
6457,Happy
6458,Not classified
6459,Sad
6460,Not classified
6461,Not classified
6462,Happy
6463,Not classified
6464,Happy
6465,Surprise
6466,Happy
6467,Happy
6468,Not classified
6469,Surprise
6470,Not classified
6471,Sad
6472,Surprise
6473,Sad
6474,Fear
6475,Not classified
6476,Sad
6477,Not classified
6478,Happy
6479,Surprise
6480,Not classified
6481,Surprise
6482,Not classified
6483,Not classified
6484,Not classified
6485,Sad
6486,Happy
6487,Not classified
6488,Fear
6489,Sad
6490,Not classified
6491,Fear
6492,Surprise
6493,Happy
6494,Not classified
6495,Happy
6496,Angry
6497,Happy
6498,Sad
6499,Not classified
6500,Happy
6501,Sad
6502,Not classified
6503,Not classified
6504,Not classified
6505,Not classified
6506,Happy
6507,Not classified
6508,Not classified
6509,Not classified
6510,Not classified
6511,Angry
6512,Happy
6513,Not classified
6514,Fear
6515,Not classified
6516,Fear
6517,Happy
6518,Happy
6519,Not classified
6520,Not classified
6521,Fear
6522,Fear
6523,Surprise
6524,Not classified
6525,Not classified
6526,Not classified
6527,Fear
6528,Not classified
6529,Fear
6530,Surprise
6531,Not classified
6532,Happy
6533,Angry
6534,Sad
6535,Sad
6536,Surprise
6537,Angry
6538,Fear
6539,Surprise
6540,Surprise
6541,Sad
6542,Not classified
6543,Surprise
6544,Sad
6545,Not classified
6546,Fear
6547,Not classified
6548,Happy
6549,Happy
6550,Not classified
6551,Fear
6552,Happy
6553,Surprise
6554,Happy
6555,Surprise
6556,Not classified
6557,Not classified
6558,Surprise
6559,Sad
6560,Happy
6561,Not classified
6562,Happy
6563,Not classified
6564,Not classified
6565,Surprise
6566,Not classified
6567,Not classified
6568,Not classified
6569,Sad
6570,Angry
6571,Not classified
6572,Fear
6573,Not classified
6574,Not classified
6575,Not classified
6576,Not classified
6577,Not classified
6578,Angry
6579,Not classified
6580,Fear
6581,Not classified
6582,Happy
6583,Not classified
6584,Fear
6585,Surprise
6586,Surprise
6587,Sad
6588,Fear
6589,Angry
6590,Not classified
6591,Fear
6592,Not classified
6593,Not classified
6594,Not classified
6595,Fear
6596,Fear
6597,Not classified
6598,Not classified
6599,Not classified
6600,Happy
6601,Fear
6602,Surprise
6603,Not classified
6604,Fear
6605,Angry
6606,Not classified
6607,Not classified
6608,Happy
6609,Not classified
6610,Not classified
6611,Surprise
6612,Not classified
6613,Not classified
6614,Not classified
6615,Not classified
6616,Not classified
6617,Not classified
6618,Not classified
6619,Happy
6620,Happy
6621,Surprise
6622,Happy
6623,Sad
6624,Sad
6625,Sad
6626,Not classified
6627,Not classified
6628,Not classified
6629,Not classified
6630,Fear
6631,Happy
6632,Not classified
6633,Happy
6634,Not classified
6635,Not classified
6636,Not classified
6637,Not classified
6638,Fear
6639,Surprise
6640,Fear
6641,Happy
6642,Sad
6643,Sad
6644,Happy
6645,Happy
6646,Surprise
6647,Happy
6648,Fear
6649,Not classified
6650,Not classified
6651,Not classified
6652,Surprise
6653,Not classified
6654,Angry
6655,Happy
6656,Not classified
6657,Happy
6658,Not classified
6659,Fear
6660,Sad
6661,Not classified
6662,Not classified
6663,Not classified
6664,Not classified
6665,Not classified
6666,Not classified
6667,Not classified
6668,Surprise
6669,Happy
6670,Angry
6671,Happy
6672,Not classified
6673,Not classified
6674,Not classified
6675,Happy
6676,Not classified
6677,Not classified
6678,Not classified
6679,Not classified
6680,Not classified
6681,Not classified
6682,Not classified
6683,Fear
6684,Not classified
6685,Not classified
6686,Happy
6687,Not classified
6688,Surprise
6689,Fear
6690,Not classified
6691,Sad
6692,Happy
6693,Not classified
6694,Not classified
6695,Not classified
6696,Not classified
6697,Surprise
6698,Happy
6699,Angry
6700,Not classified
6701,Surprise
6702,Not classified
6703,Happy
6704,Not classified
6705,Not classified
6706,Fear
6707,Not classified
6708,Fear
6709,Surprise
6710,Not classified
6711,Not classified
6712,Not classified
6713,Not classified
6714,Not classified
6715,Not classified
6716,Fear
6717,Fear
6718,Surprise
6719,Not classified
6720,Fear
6721,Surprise
6722,Happy
6723,Not classified
6724,Happy
6725,Sad
6726,Fear
6727,Not classified
6728,Not classified
6729,Not classified
6730,Happy
6731,Sad
6732,Not classified
6733,Happy
6734,Happy
6735,Not classified
6736,Not classified
6737,Surprise
6738,Not classified
6739,Sad
6740,Surprise
6741,Sad
6742,Not classified
6743,Happy
6744,Fear
6745,Not classified
6746,Not classified
6747,Not classified
6748,Fear
6749,Happy
6750,Happy
6751,Happy
6752,Not classified
6753,Not classified
6754,Sad
6755,Fear
6756,Happy
6757,Not classified
6758,Surprise
6759,Sad
6760,Happy
6761,Surprise
6762,Not classified
6763,Sad
6764,Not classified
6765,Happy
6766,Not classified
6767,Happy
6768,Sad
6769,Angry
6770,Happy
6771,Happy
6772,Not classified
6773,Fear
6774,Sad
6775,Sad
6776,Not classified
6777,Fear
6778,Surprise
6779,Not classified
6780,Happy
6781,Not classified
6782,Fear
6783,Sad
6784,Surprise
6785,Not classified
6786,Happy
6787,Not classified
6788,Not classified
6789,Fear
6790,Sad
6791,Angry
6792,Fear
6793,Not classified
6794,Sad
6795,Happy
6796,Surprise
6797,Sad
6798,Sad
6799,Happy
6800,Not classified
6801,Not classified
6802,Fear
6803,Not classified
6804,Not classified
6805,Not classified
6806,Happy
6807,Not classified
6808,Happy
6809,Sad
6810,Surprise
6811,Not classified
6812,Angry
6813,Sad
6814,Not classified
6815,Fear
6816,Happy
6817,Not classified
6818,Not classified
6819,Not classified
6820,Not classified
6821,Not classified
6822,Fear
6823,Happy
6824,Fear
6825,Happy
6826,Not classified
6827,Surprise
6828,Not classified
6829,Sad
6830,Not classified
6831,Not classified
6832,Not classified
6833,Not classified
6834,Not classified
6835,Not classified
6836,Not classified
6837,Surprise
6838,Not classified
6839,Fear
6840,Not classified
6841,Fear
6842,Sad
6843,Surprise
6844,Happy
6845,Sad
6846,Surprise
6847,Not classified
6848,Happy
6849,Not classified
6850,Not classified
6851,Not classified
6852,Happy
6853,Happy
6854,Not classified
6855,Surprise
6856,Surprise
6857,Not classified
6858,Not classified
6859,Surprise
6860,Sad
6861,Happy
6862,Not classified
6863,Surprise
6864,Not classified
6865,Sad
6866,Not classified
6867,Happy
6868,Not classified
6869,Fear
6870,Not classified
6871,Fear
6872,Sad
6873,Fear
6874,Not classified
6875,Not classified
6876,Sad
6877,Not classified
6878,Sad
6879,Angry
6880,Angry
6881,Not classified
6882,Not classified
6883,Fear
6884,Not classified
6885,Happy
6886,Surprise
6887,Not classified
6888,Not classified
6889,Angry
6890,Sad
6891,Sad
6892,Sad
6893,Not classified
6894,Not classified
6895,Not classified
6896,Surprise
6897,Not classified
6898,Not classified
6899,Not classified
6900,Not classified
6901,Fear
6902,Surprise
6903,Fear
6904,Sad
6905,Not classified
6906,Fear
6907,Not classified
6908,Not classified
6909,Not classified
6910,Fear
6911,Not classified
6912,Not classified
6913,Surprise
6914,Sad
6915,Not classified
6916,Not classified
6917,Not classified
6918,Surprise
6919,Sad
6920,Fear
6921,Surprise
6922,Happy
6923,Fear
6924,Not classified
6925,Not classified
6926,Surprise
6927,Happy
6928,Sad
6929,Fear
6930,Surprise
6931,Not classified
6932,Happy
6933,Sad
6934,Surprise
6935,Sad
6936,Not classified
6937,Fear
6938,Not classified
6939,Not classified
6940,Not classified
6941,Surprise
6942,Surprise
6943,Sad
6944,Not classified
6945,Sad
6946,Not classified
6947,Happy
6948,Not classified
6949,Not classified
6950,Not classified
6951,Happy
6952,Not classified
6953,Angry
6954,Sad
6955,Not classified
6956,Not classified
6957,Not classified
6958,Angry
6959,Not classified
6960,Fear
6961,Not classified
6962,Sad
6963,Not classified
6964,Not classified
6965,Not classified
6966,Not classified
6967,Not classified
6968,Not classified
6969,Happy
6970,Sad
6971,Fear
6972,Sad
6973,Not classified
6974,Not classified
6975,Sad
6976,Fear
6977,Not classified
6978,Not classified
6979,Not classified
6980,Happy
6981,Not classified
6982,Not classified
6983,Not classified
6984,Not classified
6985,Angry
6986,Happy
6987,Fear
6988,Not classified
6989,Not classified
6990,Not classified
6991,Fear
6992,Not classified
6993,Not classified
6994,Angry
6995,Not classified
6996,Happy
6997,Happy
6998,Not classified
6999,Not classified
7000,Not classified
7001,Not classified
7002,Not classified
7003,Surprise
7004,Not classified
7005,Sad
7006,Not classified
7007,Sad
7008,Not classified
7009,Not classified
7010,Happy
7011,Not classified
7012,Not classified
7013,Not classified
7014,Sad
7015,Not classified
7016,Not classified
7017,Not classified
7018,Not classified
7019,Not classified
7020,Sad
7021,Not classified
7022,Surprise
7023,Happy
7024,Happy
7025,Sad
7026,Not classified
7027,Happy
7028,Sad
7029,Not classified
7030,Not classified
7031,Happy
7032,Not classified
7033,Fear
7034,Not classified
7035,Fear
7036,Angry
7037,Not classified
7038,Fear
7039,Not classified
7040,Surprise
7041,Not classified
7042,Not classified
7043,Not classified
7044,Happy
7045,Happy
7046,Sad
7047,Surprise
7048,Happy
7049,Not classified
7050,Sad
7051,Not classified
7052,Not classified
7053,Not classified
7054,Not classified
7055,Not classified
7056,Not classified
7057,Happy
7058,Happy
7059,Fear
